,All,Hard,Soft
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-tax-sample-data",,0,1

magento/module-quote,15,14,1
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-sales-sequence",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-webapi",,0,1

magento/module-inventory-sales-api,2,2,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-sales",,1,0

magento/module-inventory,1,1,0
" -- magento/module-inventory-api",,1,0

magento/module-payment,7,7,0
" -- magento/module-checkout",,1,0
" -- magento/module-config",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0

magento/module-indexer,1,1,0
" -- magento/module-backend",,1,0

magento/module-inventory-source-selection-api,4,4,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0

magento/module-catalog-search,12,11,1
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-indexer",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-search",,1,0
" -- magento/module-store",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-config",,0,1

magento/module-webapi,6,4,2
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-store",,1,0
" -- magento/module-user",,0,1
" -- magento/module-customer",,0,1

magento/module-graph-ql,3,2,1
" -- magento/module-eav",,1,0
" -- magento/module-webapi",,1,0
" -- magento/module-graph-ql-cache",,0,1

magento/module-import-export,6,6,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0

magento/module-contact,4,4,0
" -- magento/module-cms",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-store",,1,0

magento/module-shipping,16,13,3
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-contact",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-user",,1,0
" -- magento/module-fedex",,0,1
" -- magento/module-ups",,0,1
" -- magento/module-config",,0,1

magento/module-inventory-source-deduction-api,3,3,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-configuration-api",,1,0

magento/module-sales-inventory,4,4,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0

magento/module-inventory-sales,14,13,1
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-inventory",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-inventory-configuration-api",,1,0
" -- magento/module-inventory-reservations-api",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-source-deduction-api",,1,0
" -- magento/module-inventory-source-selection-api",,1,0
" -- magento/module-sales-inventory",,1,0
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-inventory-catalog",,0,1

magento/module-search,5,5,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog-search",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0

magento/module-inventory-indexer,7,6,1
" -- magento/module-inventory-multi-dimensional-indexer-api",,1,0
" -- magento/module-inventory",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-sales",,1,0
" -- magento/module-catalog",,0,1

magento/module-re-captcha-ui,1,1,0
" -- magento/module-re-captcha-validation-api",,1,0

magento/module-inventory-in-store-pickup-api,1,1,0
" -- magento/module-inventory-api",,1,0

magento/module-catalog-import-export,10,10,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-authorization",,1,0

magento/module-msrp,7,5,2
" -- magento/module-catalog",,1,0
" -- magento/module-downloadable",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-bundle",,0,1
" -- magento/module-msrp-sample-data",,0,1

magento/module-configurable-product,18,10,8
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-msrp",,0,1
" -- magento/module-webapi",,0,1
" -- magento/module-sales",,0,1
" -- magento/module-sales-rule",,0,1
" -- magento/module-product-video",,0,1
" -- magento/module-configurable-sample-data",,0,1
" -- magento/module-product-links-sample-data",,0,1
" -- magento/module-tax",,0,1

magento/module-media-content-api,1,1,0
" -- magento/module-media-gallery-api",,1,0

magento/module-inventory-in-store-pickup-shipping-api,3,3,0
" -- magento/module-quote",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0

magento/module-media-gallery-synchronization-api,1,1,0
" -- magento/module-media-gallery-api",,1,0

magento/module-rule,4,4,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-store",,1,0

magento/module-gift-message,10,8,2
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-eav",,0,1
" -- magento/module-multishipping",,0,1

magento/module-grouped-product,14,13,1
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-grouped-product-sample-data",,0,1

magento/module-eav-graph-ql,2,1,1
" -- magento/module-eav",,1,0
" -- magento/module-graph-ql",,0,1

magento/module-customer-graph-ql,8,8,0
" -- magento/module-authorization",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-graph-ql",,1,0
" -- magento/module-newsletter",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-store",,1,0
" -- magento/module-directory",,1,0

magento/module-catalog-graph-ql,11,9,2
" -- magento/module-eav",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-search",,1,0
" -- magento/module-store",,1,0
" -- magento/module-eav-graph-ql",,1,0
" -- magento/module-catalog-search",,1,0
" -- magento/module-graph-ql",,1,0
" -- magento/module-graph-ql-cache",,0,1
" -- magento/module-store-graph-ql",,0,1

magento/module-vault,7,7,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-theme",,1,0

magento/module-catalog-url-rewrite,9,8,1
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-url-rewrite",,1,0
" -- magento/module-webapi",,0,1

magento/module-quote-graph-ql,11,10,1
" -- magento/module-quote",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-customer-graph-ql",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-graph-ql",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-graph-ql-cache",,0,1

magento/module-analytics,4,4,0
" -- magento/module-backend",,1,0
" -- magento/module-config",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-store",,1,0

magento/module-inventory-distance-based-source-selection-api,1,1,0
" -- magento/module-inventory-source-selection-api",,1,0

magento/module-advanced-search,7,7,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-search",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-search",,1,0
" -- magento/module-store",,1,0

magento/module-catalog-rule,9,7,2
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-import-export",,0,1
" -- magento/module-catalog-rule-sample-data",,0,1

magento/module-inventory-configuration,5,5,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-inventory-configuration-api",,1,0
" -- magento/module-store",,1,0

magento/module-media-gallery-ui-api,1,0,1
" -- magento/module-cms",,0,1

magento/module-url-rewrite,7,7,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-cms-url-rewrite",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0

magento/module-inventory-admin-ui,6,6,0
" -- magento/module-inventory",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-ui",,1,0

magento/module-inventory-catalog-admin-ui,10,9,1
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-inventory-configuration-api",,1,0
" -- magento/module-inventory-indexer",,1,0
" -- magento/module-asynchronous-operations",,1,0
" -- magento/module-inventory-admin-ui",,0,1

magento/module-inventory-in-store-pickup,8,8,0
" -- magento/module-inventory-in-store-pickup-api",,1,0
" -- magento/module-inventory-distance-based-source-selection-api",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-source-selection-api",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-inventory",,1,0

magento/module-media-content-synchronization-api,1,1,0
" -- magento/module-media-content-api",,1,0

magento/module-cron,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-config",,0,1

magento/module-adobe-ims,5,5,0
" -- magento/module-adobe-ims-api",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-config",,1,0
" -- magento/module-user",,1,0

magento/module-cookie,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-backend",,0,1

magento/module-elasticsearch,9,8,1
" -- magento/module-advanced-search",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-search",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-search",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,0,1

magento/module-instant-purchase,7,7,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-vault",,1,0

magento/module-login-as-customer,4,3,1
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-login-as-customer-api",,1,0
" -- magento/module-backend",,0,1

magento/module-sales-rule,20,19,1
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-captcha",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-sales-rule-sample-data",,0,1

magento/module-developer,2,2,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0

magento/module-inventory-catalog,11,10,1
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-inventory-catalog-api",,1,0
" -- magento/module-store",,1,0
" -- magento/module-inventory",,1,0
" -- magento/module-inventory-configuration-api",,1,0
" -- magento/module-inventory-indexer",,1,0
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-configuration",,1,0
" -- magento/module-inventory-reservations-api",,0,1

magento/module-inventory-catalog-frontend-ui,4,2,2
" -- magento/module-inventory-sales-api",,1,0
" -- magento/module-inventory-configuration-api",,1,0
" -- magento/module-inventory-catalog",,0,1
" -- magento/module-inventory-catalog-api",,0,1

magento/module-inventory-export-stock-api,1,1,0
" -- magento/module-inventory-sales-api",,1,0

magento/module-inventory-in-store-pickup-quote,6,6,0
" -- magento/module-inventory-in-store-pickup",,1,0
" -- magento/module-inventory-in-store-pickup-api",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-inventory-in-store-pickup-shipping-api",,1,0
" -- magento/module-store",,1,0
" -- magento/module-inventory-sales-api",,1,0

magento/module-inventory-in-store-pickup-sales,6,6,0
" -- magento/module-inventory-in-store-pickup-sales-api",,1,0
" -- magento/module-inventory-in-store-pickup-api",,1,0
" -- magento/module-inventory-api",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-inventory-source-selection-api",,1,0

magento/module-inventory-low-quantity-notification,9,9,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-inventory",,1,0
" -- magento/module-inventory-api",,1,0
